Book_Id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
pg1032,-0.002637,-0.0061,-0.002266,0.000579,-0.00237,-0.002075,0.005635,-0.001637,0.016987,-0.00473,-0.001999,-0.001427,-0.009251,-0.004474,0.000451,0.019213,-0.008649,-0.001123,0.004099,0.001774
pg105,0.001325,0.000449,0.007277,0.003853,-0.00545,-0.003157,-0.005441,-0.001295,-0.001142,-0.003703,-0.003171,0.008609,-0.006273,0.001423,0.002735,-0.003987,0.008421,-0.000929,0.001719,-0.001262
pg108,-0.003724,0.001543,0.015403,-0.003127,0.013772,0.016327,0.006993,-0.013605,0.002868,-0.007739,-0.008312,0.002433,-0.005697,0.000436,-0.007634,0.003107,-0.004841,-0.000422,-0.008826,0.001045
pg1086,-0.003933,-0.004163,0.013955,-0.008765,-0.004943,0.016734,0.015789,0.005576,0.004376,0.004165,-0.004552,-0.00435,-0.003739,-0.003104,-0.008257,-0.006395,-0.004141,-0.001054,-0.004555,0.001356
pg11,-0.000072,-0.010553,0.013335,-0.003555,0.011865,0.01506,0.012191,-0.007073,-0.005062,0.005822,-0.00641,0.001015,-0.008282,0.000565,-0.006574,-0.000753,-0.007785,0.002582,-0.003207,-0.00311
pg1155,0.003916,-0.006108,0.017653,-0.018156,0.019258,0.021073,0.004478,-0.001068,-0.005375,-0.000058,-0.011844,0.003673,-0.000635,-0.000526,-0.007772,-0.000586,-0.010451,0.001695,-0.009228,0.000062
pg1190,-0.000754,0.008736,0.016082,0.021057,0.023148,-0.018021,-0.008493,-0.002893,-0.006131,-0.000709,-0.00865,-0.001481,-0.008788,-0.003741,-0.001785,-0.002203,-0.003762,-0.002037,-0.000867,0.001292
pg1193,0.005853,0.017744,0.020154,0.007801,0.017803,-0.015736,-0.00859,0.003482,-0.00702,0.006785,-0.007234,0.005077,-0.007086,-0.009504,-0.006556,-0.005181,-0.009087,-0.004654,0.001764,-0.005813
pg12,-0.001454,0.021759,0.026377,-0.005736,-0.01504,-0.012808,0.00765,0.001875,-0.00632,-0.004978,0.00604,0.001423,-0.006699,-0.000171,-0.005658,0.000053,0.000964,-0.010732,-0.005861,0.009313
pg1204,-0.002745,0.023552,0.029918,0.007613,0.01245,-0.019905,-0.012207,0.001289,-0.003003,0.002383,-0.009006,-0.00529,-0.003118,-0.002005,-0.005453,-0.009187,0.000283,0.001979,-0.007119,-0.000428
pg1218,-0.021327,-0.016789,0.031516,0.004434,0.001714,-0.00651,-0.004816,-0.013759,-0.000992,-0.001567,-0.001265,0.00255,0.003186,-0.005045,0.011245,-0.009724,-0.006844,0.026995,-0.012417,0.019416
pg1253,0.014,0.02302,0.036954,-0.017378,-0.002311,0.006682,-0.010179,0.011906,-0.001245,-0.004837,0.008053,0.009527,0.000767,-0.011393,-0.006268,0.000223,-0.02147,-0.018659,-0.0183,0.00091
pg1273,0.01796,-0.015153,0.027584,0.020809,-0.002021,-0.004317,0.001043,0.00278,-0.003251,0.007519,0.013716,-0.018712,-0.008668,0.011454,-0.013475,-0.008271,-0.017,-0.015503,-0.015886,0.019394
pg1314,0.028593,0.014384,-0.021969,0.026626,-0.00155,-0.009085,-0.013189,-0.008718,-0.013615,-0.002483,0.001981,0.009655,0.002112,-0.009221,-0.001545,-0.022609,0.024226,-0.000563,-0.005044,0.002013
pg1342,0.028232,0.009114,-0.001038,0.025053,0.000885,-0.024462,-0.014289,0.005042,0.027976,-0.00379,0.000576,0.016369,-0.021683,-0.010613,-0.012165,0.00579,-0.017846,-0.000359,0.009352,-0.022144
pg1392,0.027363,-0.02109,-0.01701,0.005109,0.002398,-0.005679,-0.018952,0.001719,0.02726,0.000634,-0.022914,0.000994,-0.004171,0.00057,0.017468,0.038563,-0.00991,-0.001504,-0.001531,-0.019315
pg1400,0.037354,0.007095,0.0084,-0.011182,0.018721,-0.002652,-0.004519,-0.001728,-0.032013,-0.010363,0.008253,-0.01835,-0.004188,-0.021457,-0.005807,0.033514,-0.007734,0.024147,-0.018466,0.000978
pg141,-0.013585,0.036191,-0.011268,0.001404,0.000091,-0.020802,0.005137,-0.012078,-0.020333,-0.002438,-0.024992,-0.010217,0.032445,-0.005275,-0.008679,-0.015881,0.009342,0.027853,0.031842,0.001243
pg1422,0.034894,0.039291,-0.009906,0.002313,-0.008374,-0.016722,0.009821,-0.009444,-0.022761,-0.004509,-0.005826,-0.002483,0.007859,-0.013634,-0.008646,0.012938,-0.02762,0.01816,0.03056,-0.025912
pg1442,0.043499,-0.013014,0.016996,-0.01663,-0.016155,-0.014918,-0.02839,-0.004084,0.009451,0.005811,0.009483,-0.006634,0.016869,0.042107,-0.018913,-0.001463,-0.014387,-0.018539,-0.018452,0.027365
pg158,-0.03496,-0.027305,0.002136,0.016969,0.011158,0.042634,-0.024818,0.020226,-0.028038,-0.016191,0.029895,-0.009111,-0.023493,0.009935,0.023872,-0.019125,0.005246,-0.007322,0.039001,-0.010711
pg161,0.002767,0.050128,-0.004851,-0.008133,-0.003676,-0.00088,-0.015682,0.00746,-0.011439,-0.004616,0.00267,-0.020387,-0.020906,0.000876,0.046025,-0.019957,-0.037908,-0.01319,0.043001,0.008699
pg1634,-0.023083,0.041855,-0.011639,-0.000036,-0.003307,-0.020222,-0.039094,-0.017397,-0.007992,0.011025,0.019813,-0.001328,-0.015934,0.009033,0.003621,-0.038314,0.041737,0.010899,0.035878,0.004484
pg1651,0.049173,0.008193,0.00581,-0.0088,0.012725,-0.008252,0.025897,0.017393,-0.015003,-0.032132,-0.002775,0.004226,-0.018886,0.039563,-0.00895,-0.031335,-0.039144,0.019875,-0.008847,-0.00873
pg1699,-0.013887,-0.034671,0.018252,-0.02115,-0.016785,-0.006037,0.000809,-0.006136,-0.040702,0.025457,0.014736,-0.009828,-0.023052,0.030839,0.055689,0.036065,-0.004679,0.011787,0.009619,-0.026327
pg1747,-0.036516,0.014243,-0.015071,-0.021192,-0.026127,0.002426,0.001204,-0.001693,0.041605,-0.026786,-0.019623,0.007771,0.010035,-0.024725,0.028551,0.052632,0.019606,0.011544,-0.003663,-0.014221
pg1748,0.028079,0.041098,-0.012766,0.006617,0.034665,-0.027388,0.032196,-0.004203,0.021957,0.012906,-0.027208,0.011689,-0.031212,0.027241,-0.009572,-0.040287,-0.019544,-0.018736,-0.016595,-0.008937
pg1809,-0.027712,0.033432,-0.008608,-0.014366,-0.026385,-0.026332,-0.009818,-0.022949,0.003949,0.021471,0.041762,0.025965,0.061573,-0.023022,0.001966,0.02009,-0.013846,-0.026048,-0.022882,0.011759
pg1832,0.053588,0.013577,-0.014728,0.000051,0.014174,0.036434,-0.006289,-0.003437,0.038741,-0.027374,-0.023895,0.034254,-0.050136,0.005533,-0.021046,-0.033843,-0.008817,-0.023622,0.018407,-0.001571
pg1833,-0.007491,0.050395,-0.022867,-0.039406,-0.004102,0.007542,-0.02008,0.00664,-0.027072,0.032102,0.034682,-0.00089,0.056864,-0.002032,0.018299,-0.003386,-0.013374,-0.026421,-0.01486,-0.024544
pg1834,0.031585,0.05042,-0.023024,-0.026938,-0.017712,0.024965,-0.025191,-0.015568,-0.000918,0.011125,0.044143,-0.007786,0.047586,-0.037119,-0.011777,0.015255,-0.015244,-0.020097,-0.029448,0.005743
pg1835,0.017957,0.048898,-0.033325,-0.038468,-0.000667,0.003557,0.011438,-0.032664,0.004691,0.028127,0.010693,-0.014285,0.059698,-0.017509,-0.023812,0.012187,-0.005501,-0.000269,-0.041172,0.010426
pg1836,0.038122,0.036366,-0.019401,-0.024794,0.000794,-0.018093,-0.018054,0.015323,0.00999,-0.02706,0.013613,0.028494,0.05013,-0.028221,-0.013424,-0.004846,-0.013343,0.021703,-0.048427,0.001128
pg1846,-0.029081,0.059202,0.008743,-0.022964,0.009908,0.025959,0.012778,-0.005743,-0.013676,0.002481,-0.004454,-0.018152,0.073991,0.010853,-0.014985,-0.020989,-0.004312,-0.017874,-0.038913,-0.012774
pg1849,0.043057,0.034964,-0.02122,-0.015931,0.02371,-0.031269,0.008297,0.014098,-0.038606,-0.010489,0.023506,-0.032944,-0.0391,0.032917,-0.009953,0.000325,0.012015,0.033145,-0.001707,-0.024816
pg1851,0.002541,0.056288,0.009502,-0.025927,-0.004356,0.031349,0.062342,-0.022766,-0.046686,-0.019919,-0.02279,-0.030192,0.00255,-0.008446,0.000612,0.006321,-0.017739,0.004016,0.014025,0.009275
pg1857,-0.040231,-0.022716,0.016913,-0.009586,0.009139,-0.02913,0.03346,0.015642,-0.036827,-0.035508,0.053915,-0.02689,0.001948,0.033631,-0.01327,0.038956,-0.013984,0.007372,-0.011063,0.028229
pg1875,-0.017103,0.041588,0.013262,0.008895,0.065757,0.000739,-0.032553,-0.028154,-0.026154,0.048285,-0.03722,-0.032946,-0.008878,-0.009096,0.017671,-0.007198,0.012432,0.017033,0.012785,-0.039146
pg1878,-0.014281,0.072374,0.008703,-0.017339,-0.040828,-0.01921,0.010248,0.004489,0.064501,-0.011972,0.033784,0.016183,-0.021782,-0.018416,-0.036132,-0.004928,0.001485,-0.016739,-0.005697,-0.004443
pg1888,0.056303,-0.039074,-0.018556,0.001613,0.015166,0.043979,-0.012994,-0.012015,-0.039271,-0.011879,-0.005702,-0.043725,0.004524,0.011532,-0.035856,0.006595,0.023646,0.030057,0.012741,0.012918
pg1897,-0.03498,-0.049362,0.000249,0.006401,-0.012841,0.033013,0.00681,-0.010026,0.067364,-0.021029,0.019703,0.053363,-0.003932,-0.003815,-0.045113,0.011476,-0.014866,0.000482,0.017607,-0.020504
pg1960,-0.056818,-0.007964,0.019897,-0.01597,-0.034444,0.058971,-0.021398,-0.008869,0.028866,0.031191,0.064824,0.019186,-0.006152,-0.007033,0.01386,-0.033536,-0.008817,0.001029,0.000183,-0.037005
pg1963,-0.017905,0.058056,-0.013467,-0.018043,-0.001131,0.012131,0.000004,0.035725,0.061138,0.011687,0.063209,-0.028963,-0.009188,0.004905,-0.025221,-0.02915,-0.032218,-0.009615,-0.025222,-0.036732
pg1987,-0.033303,-0.053421,0.021062,0.009505,-0.045721,-0.011835,0.007374,0.0168,-0.051747,0.068653,0.030636,0.010606,0.028273,-0.011076,-0.019048,-0.032541,0.052556,0.005718,0.009918,-0.002408
pg2097,0.061948,0.032776,0.017609,-0.028253,-0.001211,-0.005526,-0.001303,-0.005108,-0.042323,0.06374,-0.030214,-0.013834,-0.013893,-0.019533,0.003975,-0.006034,-0.029403,-0.01745,0.034815,-0.000777
pg2147,-0.048243,-0.040454,-0.008601,-0.005384,-0.039049,-0.004551,-0.011469,0.035912,-0.00638,0.0624,0.010665,-0.017325,0.048815,-0.011272,-0.012484,-0.000756,0.03781,-0.011573,0.028937,-0.006998
pg2148,0.056822,-0.015769,0.009627,-0.016163,0.003222,-0.004531,-0.038118,0.024218,0.02277,0.072784,-0.033111,-0.028325,-0.050503,-0.015515,0.023481,-0.0102,-0.022625,0.018901,0.028436,-0.025399
pg2149,-0.019012,-0.041078,-0.037538,-0.001287,0.032416,0.021486,-0.043511,-0.010256,0.079218,-0.001576,0.005605,0.055544,-0.033601,0.028393,-0.008394,-0.004765,0.023667,-0.052896,0.00115,0.006436
pg305,0.026793,0.026938,0.03966,-0.017522,-0.046881,-0.029439,-0.018107,0.07645,-0.038296,-0.01253,-0.010576,0.003582,-0.0345,-0.017053,-0.001055,0.007196,0.056852,-0.00205,0.02611,-0.035574
pg331,-0.040723,0.012506,-0.033968,-0.03045,0.054824,-0.012281,-0.012297,0.092323,0.067072,0.011507,0.024519,-0.017615,0.007379,-0.017541,0.002208,-0.003687,-0.042137,-0.009628,-0.026877,-0.025134
pg426,-0.050602,0.045524,-0.037874,0.041839,0.061659,0.024105,0.019143,-0.034944,0.035937,0.024959,0.020107,0.014773,-0.025081,-0.042977,0.010824,-0.027741,-0.052501,-0.027318,0.018387,-0.01822
pg502,0.039467,0.079403,0.021628,0.004306,-0.012308,-0.012255,0.061693,-0.040789,0.029549,-0.029565,-0.039732,0.007957,-0.007224,0.00586,-0.009674,-0.009289,-0.031284,-0.000598,-0.052114,-0.005031
pg515,0.041697,-0.033746,-0.039039,-0.014454,-0.018432,0.046879,-0.046621,-0.032543,-0.040879,0.037144,0.023703,-0.004697,0.002955,-0.022867,0.018696,-0.032722,0.058439,0.042884,-0.000519,0.014122
pg525,-0.033948,0.009474,-0.021651,0.056004,0.040738,-0.017823,0.058854,0.021345,0.05825,-0.016058,-0.001314,-0.016725,-0.010753,0.047225,-0.022293,-0.038652,-0.036401,-0.031214,-0.031481,-0.013576
pg537,0.013638,0.003231,-0.008855,-0.03334,0.000436,0.074941,-0.046037,0.041116,-0.020288,-0.027294,-0.007814,-0.003053,-0.022646,-0.027203,-0.016888,-0.019285,0.094422,0.00161,0.014031,-0.010723
pg547,-0.03979,-0.013548,0.030196,-0.004356,-0.039034,0.004354,-0.012217,-0.040285,0.046698,-0.005598,-0.008837,-0.023405,-0.031759,-0.008949,0.036057,0.014419,-0.017161,0.080227,0.035847,-0.002859
pg587,-0.035621,0.027546,0.000779,-0.022932,-0.031604,0.017887,-0.053611,-0.048698,0.047148,0.005562,0.066023,-0.026023,-0.019352,-0.033362,0.013285,0.050909,0.027815,-0.011242,-0.014862,0.040353
